label,feature,weight,abs
Low risk,roll_mean_7 <= 0.00,-5.648526326834182,5.648526326834182
Low risk,roll_mean_3 <= 0.00,-5.604585991240161,5.604585991240161
Low risk,lag_7 <= 0.00,-2.3462503278550764,2.3462503278550764
Low risk,roll_std_3 <= 0.00,1.2924473517699533,1.2924473517699533
Low risk,dow <= -0.36,1.226576339469024,1.226576339469024
Low risk,roll_mean_14 <= 0.00,-1.1942357509329866,1.1942357509329866
Low risk,roll_std_7 <= -0.25,-1.175623203801607,1.175623203801607
Low risk,-0.34 < zone_enc <= 0.00,-0.9728364730343495,0.9728364730343495
Moderate risk,0.00 < roll_mean_3 <= 1.0,-3.5354039681754577,3.5354039681754577
Moderate risk,zone_cumul > 0.81,1.5578713505014858,1.5578713505014858
Moderate risk,0.00 < roll_std_7 <= 0.75,-1.0907813026136928,1.0907813026136928
Moderate risk,roll_std_3 > 1.00,1.0103416778237448,1.0103416778237448
Moderate risk,0.00 < roll_mean_7 <= 1.0,-0.8658959537973909,0.8658959537973909
Moderate risk,0.00 < roll_std_14 <= 0.7,-0.8406452101151038,0.8406452101151038
Moderate risk,lag_1 <= 0.00,0.6050534038537673,0.6050534038537673
Moderate risk,lag_3 > 0.50,-0.5601134172840204,0.5601134172840204
High risk,roll_mean_3 > 1.00,13.042507413095423,13.042507413095423
High risk,lag_21 > 0.00,8.97184231551124,8.97184231551124
High risk,lag_30 > 0.00,8.971842315511239,8.971842315511239
High risk,month > 0.00,8.971842315511237,8.971842315511237
High risk,lag_14 > 0.00,8.971842315511237,8.971842315511237
High risk,week > 0.00,8.971842315511235,8.971842315511235
High risk,roll_mean_7 > 1.00,8.219378332940098,8.219378332940098
High risk,roll_std_14 > 0.77,2.452078566067429,2.452078566067429
